Course Information ID,Academic Year,Course Title,Offering ID,Offering Code,Offering Start Date,Offering End Date,Offering Status Code,Offering Status Description,Offering College Level Code,Offering College Level Description,Mode Of Attendance,Cost,Display Cost,Allow Applications,Allow Enquiries,Allow Enrolment,Course Introduction,Qualification Awarding Body,Delivery,Entry Requirements,Location,Progression Opportunities,Qualifications,Career Prospects,Additional Funding Information,Assessments,Course Content,Application And Interview Process,User Defined1,User Defined2,User Defined3,User Defined4,User Defined5,User Defined6,User Defined7,User Defined8,User Defined9,User Defined10,Area Of Interest1,Area Of Interest2,Area Of Interest3,Area Of Interest4,Area Of Interest5,Course Category1,Course Category2,Course Category3,Course Category4,Course Category5,Keywords,Qualification Of Study ID,Qualification Of Study Description,Qualification Of Study Description For Website,SCQF Level Programme Description,SCQF Level Programme ID,Application URL,Enrolment URL,Area Of Interest Taxonomy,Course Category Taxonomy
12,21/22,Foundation Apprenticeship - Accountancy - Schools Link - YR2,11317,FAACCO06PT2-001,19/08/2021 00:00,24/06/2022 00:00,L,Live,BET,"Business, Events and Tourism",Part Time,,NO,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,Business and Computing,,,,,,,,,,,40,Foundation Level Apprenticeship,Foundation Level Apprenticeship (FA),06 - Higher/ PDA Level 6/ SVQ 3,6,,,Business and Computing,Part Time
13,21/22,Business Skills - Foundation Apprenticeship - Year1,34541,FABUSI06PT1-001,19/08/2021 00:00,24/06/2022 00:00,L,Live,BET,"Business, Events and Tourism",Part Time,,NO,NO,YES,NO,"The Foundation Apprenticeship in Business Skills is a two year programme and is made up of two elements. National Progression Award (NPA) in Business Skills and SVQ Level 3 Business & Administration units. In Year 1 you will have the opportunity to work towards achieving the majority of the National Progression Award in Business Skills including the following units: Understanding Business, Management of People and Finance, Contemporary Business Issues, PC Passport: Working with IT Software Word Processing and Presenting Information, PC Passport: Working with IT Software Spreadsheet and Database, Work Placement. On completion of the above units you will achieve the NPA in Business Skills.In Year 2 you will undertake a work placement and work towards achieving 4 mandatory units from the SVQ Business & Administration. Borders College will arrange this placement for you which is a mandatory component of the award and will require attendance at placement out with normal school hours eg. holidays or Friday pm.",Scottish Qualification Authority (SQA),Duration - Part Time 72 week courses over 2 x Academic Years. Year 1 will include 2 on campus/online sessions on a Tuesday and Thursday afternoon.,You must be starting S5 and should be ready to study at SCQF level 6 and have an interest in business. You will be required to have a minimum of four National 5 passes grades A to C.,Scottish Borders Campus Galashiels,Related Programmes you may move on to: HND Year 1 Business and HNC Travel and Tourism,Year 1 working towards: NPA Level 6 Business Skills.Year 2: SVQ Level 3 Business & Administration units.,,,,,,,,,,,,,,,,Business and Computing,,,,,,,,,,,40,Foundation Level Apprenticeship,Foundation Level Apprenticeship (FA),06 - Higher/ PDA Level 6/ SVQ 3,6,,,Business and Computing,Part Time
14,21/22,Level 4 Hospitality,27452,NQHOSP04FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,BET,"Business, Events and Tourism",Full Time,,NO,YES,YES,YES,"Students will have the opportunity to learn in our food production kitchen and our College Restaurant. Classes will be rotated between kitchen and restaurant to allow students to gain skills and knowledge of both areas to enhance employment opportunities. Our College Restaurant is open to the public for a lunch or evening service. Students will have the opportunity to gain other essential employability skills such as Elementary Food Hygiene and the industry-recognised customer care award, World Host. Core Skills for working in the hospitality industry are an essential timetabled part of this course.",SQA,"Full-time 36 week course. Up to 4 days per week, a mix of online and on campus learning",National 4 award in Literacy or Communications at Intermediate 1 plus Information Technology at Intermediate 1 or equivalent qualification. Selection will be subject to satisfactory interview session. Candidates without any formal academic qualifications may be considered at interview.,Scottish Borders Campus,Level 5 Hospitality,NPA Professional Cookery at SCQF Level 4,,,,,,,,,,,,,,,,Catering and Hospitality,,,,,,,,,,,34,National Qualification Award (college devised programme that will contain accredited units and may also contain small group award(s) but will not lead to a substantive accredited Group Award),,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=27452,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directenrol/EnrolFromApp/checkout_directenrolFromApp.ascx&offeringid=27452,Catering and Hospitality,Full Time
15,21/22,Level 5 Hospitality,27453,NQHOSP05FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,BET,"Business, Events and Tourism",Full Time,,NO,YES,YES,NO,"Whilst working towards the Food Preparation and Cookery award, students will participate in learning skills and gaining knowledge in a wide range of cookery methods and will begin to prepare complex dishes. Students will rotate between kitchen and restaurant. During Front of House service, students will learn food service and customer care skills. Core Skills for working in the hospitality industry are an essential, timetabled part of this course.",SQA,"Full-time 36 week course, up to 4 days per week with a mix of online and on-campus learning. Students may have the opportunity to attend an industrial placement over extended periods of time","National 5 award in Literacy or Communications at Intermediate 2 plus Information Technology at Intermediate 2 or equivalent qualification, and/or Level 4 Hospitality. Selection may be subject to satisfactory interview session. Candidates without any formal academic qualifications may be considered at interview.",Scottish Borders Campus,Level 6 Hospitality,NC Professional Cookery and NPA Hospitality at SCQF Level 5.,,,,,,,,,,,,,,,,Catering and Hospitality,,,,,,,,,,,34,National Qualification Award (college devised programme that will contain accredited units and may also contain small group award(s) but will not lead to a substantive accredited Group Award),,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=27453,,Catering and Hospitality,Full Time
16,21/22,Level 6 Hospitality,26702,NQHOSP06FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,BET,"Business, Events and Tourism",Full Time,,NO,YES,YES,NO,"Students gain skills and knowledge in the preparation and cooking of complex meat, poultry, fish and vegetable dishes. Students will learn how to develop creative menus and recipes. Students will develop their employability, supervision and leadership skills by acting as 'Head Chef'. Core Skills for working in the hospitality industry are an essential, timetabled part of this course. Work experience is a mandatory part of this programme and students may have the opportunity to undertake week-long placements at renowned establishments throughout the United Kingdom.",SQA,Full-time 36 week course. Up to 4 days per week with a mix of online and on-campus learning. Students may have the opportunity to attend industrial placement over extended periods of time,"National 5 award in Literacy or Communications at Intermediate 2 plus Information Technology at Intermediate 2 or equivalent qualification, and/or Level 5 Hospitality. Selection may be subject to satisfactory interview session.",Scottish Borders Campus,HNC Hospitality or Employment,"NPA Professional Cookery, NPA Hospitality and NPA Events at SCQF Level 6",,,,,,,,,,,,,,,,Catering and Hospitality,,,,,,,,,,,34,National Qualification Award (college devised programme that will contain accredited units and may also contain small group award(s) but will not lead to a substantive accredited Group Award),,06 - Higher/ PDA Level 6/ SVQ 3,6,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=26702,,Catering and Hospitality,Full Time
17,21/22,"THE - ( Tourism, Hospitality & Events ) Programme",188512,HNTHEP08PT1-001,06/09/2021 00:00,19/10/2021 00:00,N,Not Running,BET,"Business, Events and Tourism",Part Time,,NO,YES,YES,NO,"THE Business Skills Programme is a suite of essential practical business skills qualifications, which will upskill the current workforce and attract new talent to the Tourism, Hospitality & Events industries. Delivered jointly between Borders College and SRUC Course Content1. Customer care and quality service measurement2. Business law for SMEs3. Leadership and Innovation4. Inventory management, product costing and pricing",,Online,"Candidates should be employed or have aspirations of employment within the tourism, hospitality and events including rural tourism, heritage and wider visitor economy sectors . Candidates should be able to study and achieve at SCQFlevel 8 and ideally hold or aspire to hold supervisory or managerial posts within Tourism, Hospitality, Events & Visitor Economy industries.",Online,"The qualifications aim to boost business profitability by providing practical business knowledge and management skills in areas such as web design, customer service, digital marketing, preparing financial reports etc tailored for the tourism, hospitality and events sectors .Candidates may progress to a range of degrees and qualifications",College Certificate,,,,,,,,,,,,,,,,Business and Computing,,,,,,,,,,,EE,HN units only but not leading to an award certificate (including infill),,08 - HND/PDA Level 8/SVQ 4,8,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=188512,,Business and Computing,Part Time
18,21/22,Access to Creative Education in Scotland (ACES) Edinburgh:Portfolio Preparation Course,188697,NUACES06PT1-001,19/08/2021 00:00,29/03/2022 00:00,L,Live,CIN,Creative Industries,Part Time,,NO,NO,YES,NO,ACES course will be delivered in with ACES and Borders College partnership.,Locally devised Units,Part time,Students need to be ready to work at SCQF level 6 (equivalent to Higher). You need to have a good level of written and spoken English and a proven record in Art and Design.,Scottish Borders Campus Galashiels,On successful completion of this course students may progress to higher education.,The ACES course allows students to develop their portfolio and supports them in the transition to higher education.,,,,,,,,,,,,,,,,Art and Design,,,,,,,,,,,39,Non-advanced units only but not leading to an award certificate (including infill),,06 - Higher/ PDA Level 6/ SVQ 3,6,,,Art and Design,Part Time
19,21/22,Art and Design - HND Year 1,23899,HDARTD08FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,CIN,Creative Industries,Full Time,,NO,YES,YES,NO,"You will gain the knowledge and skills to develop your portfolio and artwork. Exploring areas such as Observational and Developmental drawing, Illustration, Life Drawing, and Portfolio.",SQA,"Full-time 36 week course, 3 to 4 days per week in College",National 6 award or Higher in Art and Design plus Communications at SCQF Level 5. All applicants will be expected to bring a portfolio of their work to course information sessions and may be asked participate in a practical skills test. Candidates without any formal academic qualifications may be considered on presentation of their portfolio.,Scottish Borders Campus,Art and Design - HND Year 2,Art and Design - HND Year 1,,,,,,,,,,,,,,,,Art and Design,,,,,,,,,,,DC,Higher National Diploma or equivalent,Higher National Diploma (HND),08 - HND/PDA Level 8/SVQ 4,8,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=23899,,Art and Design,Full Time
20,21/22,Art and Design - HND Year 2,38536,HDARTD08FT2-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,CIN,Creative Industries,Full Time,,NO,YES,YES,NO,"You will gain the knowledge and skills to develop your artwork. Exploring areas such as: Developmental Drawing, Observational Drawing, Contemporary Art/Conceptual Development, Ceramics, Painting, Creative/Advanced Projects",Scottish Qualifications Authority (SQA),"Full time 36 week course, Part of your study will be self directed online. You will be expected to study up to 3 days per week, this includes college attendance which can vary from 2 to 3 days per week.","HNC Art and Design, All external applicants will be expected to bring a portfolio of their work to course interview sessions and may be asked to participate in a practical skills test. Candidates without any formal academic qualifications may be considered on presentation of their portfolio.","Scottish Borders Campus, Galashiels",Higher Education institutions,HND Art and Design at SCQF Level 8,,,,,,,,,,,,,,,,Art and Design,,,,,,,,,,,DC,Higher National Diploma or equivalent,Higher National Diploma (HND),08 - HND/PDA Level 8/SVQ 4,8,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=38536,,Art and Design,Full Time
21,21/22,Graphic Design - HND YR1,38549,HDGRAP08FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,CIN,Creative Industries,Full Time,,NO,YES,YES,NO,"This course enables students to gain skills to become successful graphic designers and introduces students to the world of Creative Industries. Topics covered include Photography, Mixed Media, Typography, Digital Imaging, and Sustainable Design. Assessment is through a wide range of design briefs, which are often client-initiated, that will develop the student's skills. The course is suitable for those who wish to progress to University to study design.",SQA (Scottish Qualifications Authority),"Full-time 72 week course over 2 academic years, 2 to 3 days per week in College,","2 Highers preferably including Higher English, Higher Art and Design or Higher Graphic Communication. All applicants will be expected to bring a portfolio of work to an interview session. Candidates without any formal academic qualifications may be considered at an interview session.",Scottish Borders Campus,This HND can be your gateway to employment in the creative industries or progression onto various degree courses at universities throughout the UK,HND in Graphic Design at SCQF Level 7 and 8,,,,,,,,,,,,,,,,Graphic Design,,,,,,,,,,,DC,Higher National Diploma or equivalent,Higher National Diploma (HND),08 - HND/PDA Level 8/SVQ 4,8,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=38549,,Graphic Design,Full Time
